Cluster_ID	Cluster_Size	Phylum	Class	Order	Family	Genus	OTU_ID	primary_lifestyle	Fruitbody_type_template
c809	29	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales family incertae sedis	Sistotrema	Sistotrema	litter_saprotroph	corticioid
c810	29	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c811	29	NA	NA	NA	NA	GS34	GS34	NA	NA
c812	29	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c813	29	NA	NA	NA	NA	Sordariomycetes	Sordariomycetes	NA	NA
c814	29	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita	root_endophyte	none
c815	29	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnum	Lachnum_pulverulentum	litter_saprotroph	apothecium_(hymenium_on_surface)
c816	29	NA	NA	NA	NA		_Coniochaetales	NA	NA
c817	29	NA	NA	NA	NA	Sordariomycetes	Sordariomycetes	NA	NA
c818	29	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales family incertae sedis	Hastodontia	Hastodontia_hastata	wood_saprotroph	corticioid
c819	29	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Sagenomella	Sagenomella	unspecified_saprotroph	0
c820	29	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Pseudosigmoidea	Pseudosigmoidea_excentrica_	soil_saprotroph	perithecium_(hymenium_hidden,_narrow_opening)
c821	29	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe	soil_saprotroph	agaricoid
c822	29	NA	NA	NA	NA	Sebacinaceae	Sebacinaceae	NA	NA
c823	29	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_firmula	ectomycorrhizal	agaricoid
c824	29	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c825	28	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Phenoliferia	Phenoliferia_psychrophila/glacialis	unspecified_saprotroph	none
c826	28	Ascomycota	Leotiomycetes	Leotiales	Leotiaceae	Microglossum	Microglossum_truncatum/parvisporum	litter_saprotroph	apothecium_(hymenium_on_surface)
c827	28	Ascomycota	Dothideomycetes	Capnodiales	Phaeothecaceae	Phaeotheca	Phaeotheca	plant_pathogen	perithecium_(hymenium_hidden,_narrow_opening)
c828	28	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita	root_endophyte	none
c829	28	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c830	28	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella	soil_saprotroph	none
c831	28	NA	NA	NA	NA	Spizellomycetales	Spizellomycetales	NA	NA
c832	28	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c833	28	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c834	28	NA	NA	NA	NA	Ascomycota	Ascomycota	NA	NA
c835	28	NA	NA	NA	NA	Saccharomycetales	Saccharomycetales	NA	NA
c836	28	NA	NA	NA	NA	Mortierellaceae	Mortierellaceae	NA	NA
c837	28	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Byssonectria	Byssonectria_terrestris/fusispora	litter_saprotroph	apothecium_(hymenium_on_surface)
c838	28	NA	NA	NA	NA	Archaeorhizomycetes	Archaeorhizomycetes	NA	NA
c839	28	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus_dryophilus/ocior/aquosus	litter_saprotroph	agaricoid
c840	28	Ascomycota	Pezizomycetes	Pezizales	Tarzettaceae	Tarzetta	Tarzetta_catinus	ectomycorrhizal	apothecium_(hymenium_on_surface)
c841	28	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	Cephalotrichum	soil_saprotroph	none
c842	28	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_vietus	ectomycorrhizal	agaricoid
c843	27	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales family incertae sedis	Basidiodendron	Basidiodendron_trachysporum	wood_saprotroph	corticioid
c844	27	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c845	27	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Coccomyces	Coccomyces	litter_saprotroph	apothecium_(hymenium_on_surface)
c846	27	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c847	27	NA	NA	NA	NA	Chytridiomycota	Chytridiomycota	NA	NA
c848	27	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c849	27	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina	ectomycorrhizal	corticioid
c850	27	NA	NA	NA	NA	GS11	GS11	NA	NA
c851	27	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Pseudotomentella	Pseudotomentella	ectomycorrhizal	corticioid
c852	27	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metapochonia	Metapochonia_bulbillosa	animal_parasite	0
